agency_id,division_id,department_id,unit_id,long_name,short_name,active
CRT,6200,6230,6236,FAMILIES AND CHILDREN JUVENILE COURTHOUSE,FAM CHILD JJC,true
CRT,6200,6230,6237,FAMILY COURT SERVICES JUVENILE COURTHOUSE,FAM CRT JJC,true
CRT,6200,6230,6238,FAMILY LAW FACILITATOR JUVENILE COURTHOUSE,FAM LAW FAC JJC,true
CRT,6200,6230,6239,PROB GUARD MENTAL JUVENILE COURTHOUSE,PROB GRD JJC,true
CRT,6200,6230,6240,JUVENILE DEPENDENCY,JUV DEPENDENCY,true
CRT,6200,6230,6241,JUVENILE DELINQUENCY,JUV DELINQUENCY,true
CRT,6200,6230,6242,RECORDS JUVENILE COURTHOUSE,RECORDS JJC,true
CRT,6200,6230,6243,APPEALS JUVENILE COURTHOUSE,APPEALS JJC,true
CRT,6200,6230,6244,OTHER JUVENILE COURTHOUSE,OTHER ECCH,true
CRT,6200,6250,6251,REPORTINGS SERVICES EAST COUNTY COURTHOUSE,REPORT SVC ECCH,true
